MONOGRAFIA,"A92","Aritmética, La"
MONOGRAFIA,"A93","Arquitectura y escultura griega"
MONOGRAFIA,"A94","Arrecifes, Los"
MONOGRAFIA,"A95","Arroz y sus derivados"
MONOGRAFIA,"A96","Arte barroco"
MONOGRAFIA,"A97","Arte gótico"
MONOGRAFIA,"A98","Arte neoclásico"
MONOGRAFIA,"A99","Arte prehistórico"
MONOGRAFIA,"A100","Artes y oficios 1"
MONOGRAFIA,"A101","Artes y oficios 2"
MONOGRAFIA,"A102","Artes y oficios 3"
MONOGRAFIA,"A103","Artes plásticas, las"
MONOGRAFIA,"A104","Artesanías"
MONOGRAFIA,"A105","Artesanías mexicanas"
MONOGRAFIA,"A106","Ártico y antártico"
MONOGRAFIA,"A107","Articulaciones, Las"
MONOGRAFIA,"A108","Articulo 123, ley federal del trabajo"
MONOGRAFIA,"A109","Artrópodos"
MONOGRAFIA,"A110","Asia, mapa político"
MONOGRAFIA,"A111","Asia, mapa físico"
MONOGRAFIA,"A112","Astronomía, La"
MONOGRAFIA,"A113","Atletismo, El"
MONOGRAFIA,"A114","Atmósfera, La"
MONOGRAFIA,"A115","Átomo, El"
MONOGRAFIA,"A116","Autoestima"
MONOGRAFIA,"A117","Aves 1, Las"
MONOGRAFIA,"A118","Aves 2, Las"
MONOGRAFIA,"A119","Aves 3, Las"
MONOGRAFIA,"A120","Aves migratorias"
MONOGRAFIA,"B1","Babilonia"
MONOGRAFIA,"B2","Bacterias, las"
MONOGRAFIA,"B3","Balanza, la"
MONOGRAFIA,"B4","Bandas, engranes y poleas"
MONOGRAFIA,"B5","Banderas de África y Oceania"
MONOGRAFIA,"B6","Banderas de América"
MONOGRAFIA,"B7","Banderas de Asia"
MONOGRAFIA,"B8","Banderas de Europa"
MONOGRAFIA,"B9","Bandera de México"
MONOGRAFIA,"B10","Banderas de México"
MONOGRAFIA,"B11","Banderas del mundo, Asia y Oceanía"
MONOGRAFIA,"B12","Banderas gloriosas"
MONOGRAFIA,"B13","Barbaros, Los"
MONOGRAFIA,"B14","Basura, La"
MONOGRAFIA,"B15","Basura orgánica é inorgánica"
MONOGRAFIA,"B16","Batalla del 2 de abril (1867)"
MONOGRAFIA,"B17","Batalla del 5 de mayo (1862)"
MONOGRAFIA,"B18","Belisario Dominguez"
MONOGRAFIA,"B19","Bellas artes, Las"
MONOGRAFIA,"B20","Bellas artes: La arquitectura"
MONOGRAFIA,"B21","Bellas artes: La danza"
MONOGRAFIA,"B22","Bellas artes: La escultura"
MONOGRAFIA,"B23","Bellas artes: La música"
MONOGRAFIA,"B24","Bellas artes: La pintura"
MONOGRAFIA,"B25","Bellas artes: El cine"
MONOGRAFIA,"B26","Bellas artes: El teatro"
MONOGRAFIA,"B27","Benefactores de la humanidad"
MONOGRAFIA,"B28","Benito Juarez"
MONOGRAFIA,"B29","Bicentenario de la independencia"
MONOGRAFIA,"B30","Biodiversidad"
MONOGRAFIA,"B31","Biología, ramas de la"
MONOGRAFIA,"B32","Biosfera"
MONOGRAFIA,"B33","Biomas acuáticos (regiones naturales 2)"
MONOGRAFIA,"B34","Biomas terrestres"
MONOGRAFIA,"B35","Borrego y sus derivados"
MONOGRAFIA,"B36","Bosque"
MONOGRAFIA,"B37","Bosque de coníferas"
MONOGRAFIA,"B38","Bosque de hojas caedizas"
MONOGRAFIA,"B39","Bosque mixto"
MONOGRAFIA,"B40","Bosque templado"
